target,alpha_unit,prompt_id,other_label,other_score,cluster_id,cluster_name
pan_b8,2.0,8,playfulness,0.6,6,enthusiasm / curiosity
pan_b8,2.0,9,relaxation,0.8,2,uncertainty / indecision
pan_b8,2.0,10,appreciation,0.6,6,enthusiasm / curiosity
pan_b8,2.0,11,curiosity,0.7,6,enthusiasm / curiosity
pan_b8,2.0,14,aspiration,0.7,6,enthusiasm / curiosity
pan_b8,2.0,15,existential concern,0.6,2,uncertainty / indecision
combo_b1+b11,2.0,2,cultural exploration,0.6,0,self-doubt / encouragement
combo_b1+b11,2.0,4,financial constraint,0.6,2,uncertainty / indecision
combo_b1+b11,2.0,5,decision-making,0.4,2,uncertainty / indecision
combo_b1+b11,2.0,6,curiosity,0.4,6,enthusiasm / curiosity
combo_b1+b11,2.0,7,nostalgic reflection,0.4,0,self-doubt / encouragement
combo_b1+b11,2.0,9,indecision,0.5,2,uncertainty / indecision
combo_b1+b11,2.0,10,resignation,0.4,1,frustration / despair
combo_b1+b11,2.0,14,frustration,0.6,1,frustration / despair
combo_b1+b11,2.0,15,reassurance,0.7,2,uncertainty / indecision
combo_b1+b13,2.0,2,contentment,0.7,2,uncertainty / indecision
combo_b1+b13,2.0,4,frustration,0.7,1,frustration / despair
combo_b1+b13,2.0,5,uncertainty,0.3,2,uncertainty / indecision
combo_b1+b13,2.0,7,nostalgic reflection,0.4,0,self-doubt / encouragement
combo_b1+b13,2.0,8,playfulness,0.7,6,enthusiasm / curiosity
combo_b1+b13,2.0,9,budgetary concern,0.5,2,uncertainty / indecision
combo_b1+b13,2.0,10,contentment,0.8,2,uncertainty / indecision
combo_b1+b13,2.0,11,enthusiasm,0.4,6,enthusiasm / curiosity
combo_b1+b13,2.0,14,self-doubt,0.6,0,self-doubt / encouragement
combo_b1+b13,2.0,15,encouragement,0.7,0,self-doubt / encouragement
combo_b11+b13,2.0,2,academic ambition,0.6,4,academic ambition / competitive determination
combo_b11+b13,2.0,3,culinary excitement,0.6,6,enthusiasm / curiosity
combo_b11+b13,2.0,4,desire for security,0.6,2,uncertainty / indecision
combo_b11+b13,2.0,6,helpfulness,0.6,6,enthusiasm / curiosity
combo_b11+b13,2.0,7,self-doubt,0.6,0,self-doubt / encouragement
combo_b11+b13,2.0,8,creativity,0.8,6,enthusiasm / curiosity
combo_b11+b13,2.0,9,indecision,0.7,2,uncertainty / indecision
combo_b11+b13,2.0,11,enthusiasm,0.7,6,enthusiasm / curiosity
combo_b11+b13,2.0,13,financial uncertainty,0.7,2,uncertainty / indecision
combo_b11+b13,2.0,14,self-doubt,0.8,0,self-doubt / encouragement
combo_b11+b13,2.0,15,encouragement,0.8,0,self-doubt / encouragement
