cat_a,cat_b,alpha,beta,prompt_id,cluster_id,cluster_name,cos
b1,b11,-2.0,0.0,0,6,enthusiasm / curiosity,0.16793207824230194
b1,b11,-2.0,0.0,1,0,self-doubt / encouragement,0.08746439218521118
b1,b11,-2.0,0.0,1,1,frustration / despair,0.08770052343606949
b1,b11,-2.0,0.0,1,2,uncertainty / indecision,0.16062960028648376
b1,b11,-2.0,0.0,1,3,romantic idealism,-0.010361507534980774
b1,b11,-2.0,0.0,1,4,academic ambition / competitive determination,0.11793409287929535
b1,b11,-2.0,0.0,1,5,ironic amusement,0.08537258207798004
b1,b11,-2.0,0.0,1,6,enthusiasm / curiosity,0.12722817063331604
b1,b11,-2.0,0.0,2,0,self-doubt / encouragement,0.17798173427581787
b1,b11,-2.0,0.0,2,1,frustration / despair,0.06529410183429718
b1,b11,-2.0,0.0,2,2,uncertainty / indecision,0.11261283606290817
b1,b11,-2.0,0.0,2,3,romantic idealism,0.1506270468235016
b1,b11,-2.0,0.0,2,4,academic ambition / competitive determination,0.09845227748155594
b1,b11,-2.0,0.0,2,5,ironic amusement,0.1750442385673523
b1,b11,-2.0,0.0,2,6,enthusiasm / curiosity,0.2435978502035141
b1,b11,-2.0,0.0,3,0,self-doubt / encouragement,0.08638302236795425
b1,b11,-2.0,0.0,3,1,frustration / despair,0.1201590895652771
b1,b11,-2.0,0.0,3,2,uncertainty / indecision,0.14649426937103271
b1,b11,-2.0,0.0,3,3,romantic idealism,0.08616459369659424
b1,b11,-2.0,0.0,3,4,academic ambition / competitive determination,0.07820557802915573
b1,b11,-2.0,0.0,3,5,ironic amusement,0.10613270103931427
b1,b11,-2.0,0.0,3,6,enthusiasm / curiosity,0.15268078446388245
b1,b11,-2.0,0.0,4,0,self-doubt / encouragement,0.11672044545412064
b1,b11,-2.0,0.0,4,1,frustration / despair,0.11034375429153442
b1,b11,-2.0,0.0,4,2,uncertainty / indecision,0.1759846955537796
b1,b11,-2.0,0.0,4,3,romantic idealism,0.0921449363231659
b1,b11,-2.0,0.0,4,4,academic ambition / competitive determination,0.14543281495571136
b1,b11,-2.0,0.0,4,5,ironic amusement,0.05674440786242485
b1,b11,-2.0,0.0,4,6,enthusiasm / curiosity,0.11830520629882812
b1,b11,-2.0,0.0,5,0,self-doubt / encouragement,0.14356251060962677
b1,b11,-2.0,0.0,5,1,frustration / despair,0.12996019423007965
b1,b11,-2.0,0.0,5,2,uncertainty / indecision,0.21033523976802826
b1,b11,-2.0,0.0,5,3,romantic idealism,0.03826725110411644
b1,b11,-2.0,0.0,5,4,academic ambition / competitive determination,0.10978551208972931
b1,b11,-2.0,0.0,5,5,ironic amusement,0.12178345769643784
b1,b11,-2.0,0.0,5,6,enthusiasm / curiosity,0.18002457916736603
b1,b11,-2.0,0.0,6,0,self-doubt / encouragement,0.08654095977544785
b1,b11,-2.0,0.0,6,1,frustration / despair,0.03442539647221565
b1,b11,-2.0,0.0,6,2,uncertainty / indecision,0.10609442740678787
b1,b11,-2.0,0.0,6,3,romantic idealism,0.021548788994550705
b1,b11,-2.0,0.0,6,4,academic ambition / competitive determination,0.07654368132352829
b1,b11,-2.0,0.0,6,5,ironic amusement,0.13682156801223755
b1,b11,-2.0,0.0,6,6,enthusiasm / curiosity,0.10213663429021835
b1,b11,-2.0,0.0,7,0,self-doubt / encouragement,0.17064814269542694
b1,b11,-2.0,0.0,7,1,frustration / despair,0.2604990303516388
b1,b11,-2.0,0.0,7,2,uncertainty / indecision,0.26752644777297974
b1,b11,-2.0,0.0,7,3,romantic idealism,0.07750653475522995
b1,b11,-2.0,0.0,7,4,academic ambition / competitive determination,0.08580341935157776
b1,b11,-2.0,0.0,7,5,ironic amusement,0.1108509972691536
b1,b11,-2.0,0.0,7,6,enthusiasm / curiosity,0.1250704526901245
b1,b11,-2.0,2.0,0,0,self-doubt / encouragement,0.11249619722366333
b1,b11,-2.0,2.0,0,1,frustration / despair,0.055743761360645294
b1,b11,-2.0,2.0,0,2,uncertainty / indecision,0.19742555916309357
b1,b11,-2.0,2.0,0,3,romantic idealism,0.026574838906526566
b1,b11,-2.0,2.0,0,4,academic ambition / competitive determination,0.0698990747332573
b1,b11,-2.0,2.0,0,5,ironic amusement,0.12622207403182983
b1,b11,-2.0,2.0,0,6,enthusiasm / curiosity,0.1511904001235962
b1,b11,-2.0,2.0,1,0,self-doubt / encouragement,0.10055297613143921
b1,b11,-2.0,2.0,1,1,frustration / despair,0.1369256228208542
b1,b11,-2.0,2.0,1,2,uncertainty / indecision,0.13128890097141266
b1,b11,-2.0,2.0,1,3,romantic idealism,0.022612735629081726
b1,b11,-2.0,2.0,1,4,academic ambition / competitive determination,0.03798013925552368
b1,b11,-2.0,2.0,1,5,ironic amusement,0.05123642832040787
b1,b11,-2.0,2.0,1,6,enthusiasm / curiosity,0.12040844559669495
b1,b11,-2.0,2.0,2,0,self-doubt / encouragement,0.09828456491231918
b1,b11,-2.0,2.0,2,1,frustration / despair,0.06764860451221466
b1,b11,-2.0,2.0,2,2,uncertainty / indecision,0.09375476837158203
b1,b11,-2.0,2.0,2,3,romantic idealism,0.032635413110256195
b1,b11,-2.0,2.0,2,4,academic ambition / competitive determination,0.06085558235645294
b1,b11,-2.0,2.0,2,5,ironic amusement,0.020224889740347862
b1,b11,-2.0,2.0,2,6,enthusiasm / curiosity,0.08446374535560608
b1,b11,-2.0,2.0,3,0,self-doubt / encouragement,0.1416916847229004
b1,b11,-2.0,2.0,3,1,frustration / despair,0.13158848881721497
b1,b11,-2.0,2.0,3,2,uncertainty / indecision,0.19610533118247986
b1,b11,-2.0,2.0,3,3,romantic idealism,0.015499441884458065
b1,b11,-2.0,2.0,3,4,academic ambition / competitive determination,0.16097769141197205
b1,b11,-2.0,2.0,3,5,ironic amusement,0.09824173897504807
b1,b11,-2.0,2.0,3,6,enthusiasm / curiosity,0.177995964884758
b1,b11,-2.0,2.0,4,0,self-doubt / encouragement,0.10963131487369537
b1,b11,-2.0,2.0,4,1,frustration / despair,0.08719024062156677
b1,b11,-2.0,2.0,4,2,uncertainty / indecision,0.1856721192598343
b1,b11,-2.0,2.0,4,3,romantic idealism,0.09611908346414566
b1,b11,-2.0,2.0,4,4,academic ambition / competitive determination,0.2042762041091919
b1,b11,-2.0,2.0,4,5,ironic amusement,0.05441068485379219
b1,b11,-2.0,2.0,4,6,enthusiasm / curiosity,0.13995493948459625
b1,b11,-2.0,2.0,5,0,self-doubt / encouragement,0.15267470479011536
b1,b11,-2.0,2.0,5,1,frustration / despair,0.1237950548529625
b1,b11,-2.0,2.0,5,2,uncertainty / indecision,0.14539511501789093
b1,b11,-2.0,2.0,5,3,romantic idealism,0.03484370931982994
b1,b11,-2.0,2.0,5,4,academic ambition / competitive determination,0.09016773849725723
b1,b11,-2.0,2.0,5,5,ironic amusement,0.13015085458755493
b1,b11,-2.0,2.0,5,6,enthusiasm / curiosity,0.20479139685630798
b1,b11,-2.0,2.0,6,0,self-doubt / encouragement,0.05088077858090401
b1,b11,-2.0,2.0,6,1,frustration / despair,0.07134046405553818
b1,b11,-2.0,2.0,6,2,uncertainty / indecision,0.08133158087730408
b1,b11,-2.0,2.0,6,3,romantic idealism,0.026445679366588593
b1,b11,-2.0,2.0,6,4,academic ambition / competitive determination,0.08192237466573715
b1,b11,-2.0,2.0,6,5,ironic amusement,0.11839742958545685
b1,b11,-2.0,2.0,6,6,enthusiasm / curiosity,0.08854293823242188
b1,b11,-2.0,2.0,7,0,self-doubt / encouragement,0.20512698590755463
b1,b11,-2.0,2.0,7,1,frustration / despair,0.1930614411830902
b1,b11,-2.0,2.0,7,2,uncertainty / indecision,0.26441919803619385
b1,b11,-2.0,2.0,7,3,romantic idealism,0.07625358551740646
b1,b11,-2.0,2.0,7,4,academic ambition / competitive determination,0.10711453855037689
b1,b11,-2.0,2.0,7,5,ironic amusement,0.14126116037368774
b1,b11,-2.0,2.0,7,6,enthusiasm / curiosity,0.17773428559303284
b1,b11,0.0,-2.0,0,0,self-doubt / encouragement,0.11301782727241516
b1,b11,0.0,-2.0,0,1,frustration / despair,0.1391116827726364
b1,b11,0.0,-2.0,0,2,uncertainty / indecision,0.14491698145866394
b1,b11,0.0,-2.0,0,3,romantic idealism,0.10341130197048187
b1,b11,0.0,-2.0,0,4,academic ambition / competitive determination,0.07653679698705673
b1,b11,0.0,-2.0,0,5,ironic amusement,0.11113720387220383
b1,b11,0.0,-2.0,0,6,enthusiasm / curiosity,0.15219640731811523
b1,b11,0.0,-2.0,1,0,self-doubt / encouragement,0.12338859587907791
b1,b11,0.0,-2.0,1,1,frustration / despair,0.0964682325720787
b1,b11,0.0,-2.0,1,2,uncertainty / indecision,0.14652307331562042
b1,b11,0.0,-2.0,1,3,romantic idealism,0.058687858283519745
b1,b11,0.0,-2.0,1,4,academic ambition / competitive determination,0.04753349348902702
b1,b11,0.0,-2.0,1,5,ironic amusement,0.14756907522678375
b1,b11,0.0,-2.0,1,6,enthusiasm / curiosity,0.11722950637340546
b1,b11,0.0,-2.0,2,0,self-doubt / encouragement,0.10015912353992462
b1,b11,0.0,-2.0,2,1,frustration / despair,0.08625750243663788
b1,b11,0.0,-2.0,2,2,uncertainty / indecision,0.10923343151807785
b1,b11,0.0,-2.0,2,3,romantic idealism,0.00604932801797986
b1,b11,0.0,-2.0,2,4,academic ambition / competitive determination,0.05789452791213989
b1,b11,0.0,-2.0,2,5,ironic amusement,0.034948788583278656
b1,b11,0.0,-2.0,2,6,enthusiasm / curiosity,0.09441332519054413
b1,b11,0.0,-2.0,3,0,self-doubt / encouragement,0.05237164720892906
b1,b11,0.0,-2.0,3,1,frustration / despair,0.06049089878797531
b1,b11,0.0,-2.0,3,2,uncertainty / indecision,0.08554056286811829
b1,b11,0.0,-2.0,3,3,romantic idealism,0.006282904651015997
b1,b11,0.0,-2.0,3,4,academic ambition / competitive determination,0.0682409256696701
b1,b11,0.0,-2.0,3,5,ironic amusement,0.1128372997045517
b1,b11,0.0,-2.0,3,6,enthusiasm / curiosity,0.14910870790481567
b1,b11,0.0,-2.0,4,0,self-doubt / encouragement,0.07738448679447174
b1,b11,0.0,-2.0,4,1,frustration / despair,0.043975044041872025
b1,b11,0.0,-2.0,4,2,uncertainty / indecision,0.15892301499843597
b1,b11,0.0,-2.0,4,3,romantic idealism,0.060438863933086395
b1,b11,0.0,-2.0,4,4,academic ambition / competitive determination,0.10448195040225983
b1,b11,0.0,-2.0,4,5,ironic amusement,0.0477324053645134
b1,b11,0.0,-2.0,4,6,enthusiasm / curiosity,0.10597408562898636
b1,b11,0.0,-2.0,5,0,self-doubt / encouragement,0.133521169424057
b1,b11,0.0,-2.0,5,1,frustration / despair,0.12488778680562973
b1,b11,0.0,-2.0,5,2,uncertainty / indecision,0.19378192722797394
b1,b11,0.0,-2.0,5,3,romantic idealism,0.07708044350147247
b1,b11,0.0,-2.0,5,4,academic ambition / competitive determination,0.08158842474222183
b1,b11,0.0,-2.0,5,5,ironic amusement,0.09280141443014145
b1,b11,0.0,-2.0,5,6,enthusiasm / curiosity,0.17690837383270264
b1,b11,0.0,-2.0,6,0,self-doubt / encouragement,0.18977439403533936
b1,b11,0.0,-2.0,6,1,frustration / despair,0.17529577016830444
b1,b11,0.0,-2.0,6,2,uncertainty / indecision,0.21599049866199493
b1,b11,0.0,-2.0,6,3,romantic idealism,0.05515286326408386
b1,b11,0.0,-2.0,6,4,academic ambition / competitive determination,0.20919397473335266
b1,b11,0.0,-2.0,6,5,ironic amusement,0.11703041195869446
b1,b11,0.0,-2.0,6,6,enthusiasm / curiosity,0.21032395958900452
b1,b11,0.0,-2.0,7,0,self-doubt / encouragement,0.19694459438323975
b1,b11,0.0,-2.0,7,1,frustration / despair,0.16397495567798615
b1,b11,0.0,-2.0,7,2,uncertainty / indecision,0.18704615533351898
b1,b11,0.0,-2.0,7,3,romantic idealism,0.03052482381463051
b1,b11,0.0,-2.0,7,4,academic ambition / competitive determination,0.13554590940475464
b1,b11,0.0,-2.0,7,5,ironic amusement,0.19563856720924377
b1,b11,0.0,-2.0,7,6,enthusiasm / curiosity,0.25050681829452515
b1,b11,0.0,0.0,0,0,self-doubt / encouragement,0.2579997777938843
b1,b11,0.0,0.0,0,1,frustration / despair,0.1789245754480362
b1,b11,0.0,0.0,0,2,uncertainty / indecision,0.29380178451538086
b1,b11,0.0,0.0,0,3,romantic idealism,0.09819807857275009
b1,b11,0.0,0.0,0,4,academic ambition / competitive determination,0.12983283400535583
b1,b11,0.0,0.0,0,5,ironic amusement,0.1419805884361267
b1,b11,0.0,0.0,0,6,enthusiasm / curiosity,0.18679827451705933
b1,b11,0.0,0.0,1,0,self-doubt / encouragement,0.08845274150371552
b1,b11,0.0,0.0,1,1,frustration / despair,0.12093593180179596
b1,b11,0.0,0.0,1,2,uncertainty / indecision,0.15784244239330292
b1,b11,0.0,0.0,1,3,romantic idealism,-0.00678758230060339
b1,b11,0.0,0.0,1,4,academic ambition / competitive determination,0.07019902020692825
b1,b11,0.0,0.0,1,5,ironic amusement,0.11188811808824539
b1,b11,0.0,0.0,1,6,enthusiasm / curiosity,0.10050353407859802
b1,b11,0.0,0.0,2,0,self-doubt / encouragement,0.11809313297271729
b1,b11,0.0,0.0,2,1,frustration / despair,0.08123224973678589
b1,b11,0.0,0.0,2,2,uncertainty / indecision,0.16279290616512299
b1,b11,0.0,0.0,2,3,romantic idealism,0.0818898156285286
b1,b11,0.0,0.0,2,4,academic ambition / competitive determination,0.2249232828617096
b1,b11,0.0,0.0,2,5,ironic amusement,0.07563547044992447
b1,b11,0.0,0.0,2,6,enthusiasm / curiosity,0.16488325595855713
b1,b11,0.0,0.0,3,0,self-doubt / encouragement,0.05243324488401413
b1,b11,0.0,0.0,3,1,frustration / despair,0.09356782585382462
b1,b11,0.0,0.0,3,2,uncertainty / indecision,0.12720690667629242
b1,b11,0.0,0.0,3,3,romantic idealism,0.030841806903481483
b1,b11,0.0,0.0,3,4,academic ambition / competitive determination,0.05445351451635361
b1,b11,0.0,0.0,3,5,ironic amusement,0.11291592568159103
b1,b11,0.0,0.0,3,6,enthusiasm / curiosity,0.11533571034669876
b1,b11,0.0,0.0,4,0,self-doubt / encouragement,0.09420821070671082
b1,b11,0.0,0.0,4,1,frustration / despair,0.08754955232143402
b1,b11,0.0,0.0,4,2,uncertainty / indecision,0.17504476010799408
b1,b11,0.0,0.0,4,3,romantic idealism,0.07784955948591232
b1,b11,0.0,0.0,4,4,academic ambition / competitive determination,0.1761026680469513
b1,b11,0.0,0.0,4,5,ironic amusement,0.047947339713573456
b1,b11,0.0,0.0,4,6,enthusiasm / curiosity,0.1213914304971695
b1,b11,0.0,0.0,5,0,self-doubt / encouragement,0.26054656505584717
b1,b11,0.0,0.0,5,1,frustration / despair,0.18212664127349854
b1,b11,0.0,0.0,5,2,uncertainty / indecision,0.3255496919155121
b1,b11,0.0,0.0,5,3,romantic idealism,0.07387951016426086
b1,b11,0.0,0.0,5,4,academic ambition / competitive determination,0.2368575632572174
b1,b11,0.0,0.0,5,5,ironic amusement,0.12938886880874634
b1,b11,0.0,0.0,5,6,enthusiasm / curiosity,0.2497142255306244
b1,b11,0.0,0.0,6,0,self-doubt / encouragement,0.0574154332280159
b1,b11,0.0,0.0,6,1,frustration / despair,0.0184001624584198
b1,b11,0.0,0.0,6,2,uncertainty / indecision,0.05218037962913513
b1,b11,0.0,0.0,6,3,romantic idealism,-0.002880532294511795
b1,b11,0.0,0.0,6,4,academic ambition / competitive determination,0.06544545292854309
b1,b11,0.0,0.0,6,5,ironic amusement,0.11783784627914429
b1,b11,0.0,0.0,6,6,enthusiasm / curiosity,0.0769277960062027
b1,b11,0.0,0.0,7,0,self-doubt / encouragement,0.23420141637325287
b1,b11,0.0,0.0,7,1,frustration / despair,0.1751236766576767
b1,b11,0.0,0.0,7,2,uncertainty / indecision,0.23822972178459167
b1,b11,0.0,0.0,7,3,romantic idealism,0.04390828683972359
b1,b11,0.0,0.0,7,4,academic ambition / competitive determination,0.0975266844034195
b1,b11,0.0,0.0,7,5,ironic amusement,0.16565942764282227
b1,b11,0.0,0.0,7,6,enthusiasm / curiosity,0.21325303614139557
b1,b11,0.0,2.0,0,0,self-doubt / encouragement,0.1447521448135376
b1,b11,0.0,2.0,0,1,frustration / despair,0.14381548762321472
b1,b11,0.0,2.0,0,2,uncertainty / indecision,0.22935950756072998
b1,b11,0.0,2.0,0,3,romantic idealism,0.021545419469475746
b1,b11,0.0,2.0,0,4,academic ambition / competitive determination,0.03326103463768959
b1,b11,0.0,2.0,0,5,ironic amusement,0.12701818346977234
b1,b11,0.0,2.0,0,6,enthusiasm / curiosity,0.14662650227546692
b1,b11,0.0,2.0,1,0,self-doubt / encouragement,0.08105706423521042
b1,b11,0.0,2.0,1,1,frustration / despair,0.05911119282245636
b1,b11,0.0,2.0,1,2,uncertainty / indecision,0.11984172463417053
b1,b11,0.0,2.0,1,3,romantic idealism,0.0789550393819809
b1,b11,0.0,2.0,1,4,academic ambition / competitive determination,0.07504701614379883
b1,b11,0.0,2.0,1,5,ironic amusement,0.1284506618976593
b1,b11,0.0,2.0,1,6,enthusiasm / curiosity,0.13541898131370544
b1,b11,0.0,2.0,2,0,self-doubt / encouragement,0.11178887635469437
b1,b11,0.0,2.0,2,1,frustration / despair,0.08477623015642166
b1,b11,0.0,2.0,2,2,uncertainty / indecision,0.07185048609972
b1,b11,0.0,2.0,2,3,romantic idealism,0.08511638641357422
b1,b11,0.0,2.0,2,4,academic ambition / competitive determination,0.008392509073019028
b1,b11,0.0,2.0,2,5,ironic amusement,0.02872142195701599
b1,b11,0.0,2.0,2,6,enthusiasm / curiosity,0.07372453063726425
b1,b11,0.0,2.0,3,0,self-doubt / encouragement,0.15426474809646606
b1,b11,0.0,2.0,3,1,frustration / despair,0.13229341804981232
b1,b11,0.0,2.0,3,2,uncertainty / indecision,0.18386581540107727
b1,b11,0.0,2.0,3,3,romantic idealism,0.06291106343269348
b1,b11,0.0,2.0,3,4,academic ambition / competitive determination,0.10097064822912216
b1,b11,0.0,2.0,3,5,ironic amusement,0.16547971963882446
b1,b11,0.0,2.0,3,6,enthusiasm / curiosity,0.18896764516830444
b1,b11,0.0,2.0,4,0,self-doubt / encouragement,0.13328680396080017
b1,b11,0.0,2.0,4,1,frustration / despair,0.1116943284869194
b1,b11,0.0,2.0,4,2,uncertainty / indecision,0.20653343200683594
b1,b11,0.0,2.0,4,3,romantic idealism,0.13084319233894348
b1,b11,0.0,2.0,4,4,academic ambition / competitive determination,0.17013229429721832
b1,b11,0.0,2.0,4,5,ironic amusement,0.08731290698051453
b1,b11,0.0,2.0,4,6,enthusiasm / curiosity,0.1784915179014206
b1,b11,0.0,2.0,5,0,self-doubt / encouragement,0.11162400245666504
b1,b11,0.0,2.0,5,1,frustration / despair,0.0754404366016388
b1,b11,0.0,2.0,5,2,uncertainty / indecision,0.12193548679351807
b1,b11,0.0,2.0,5,3,romantic idealism,-0.02798636071383953
b1,b11,0.0,2.0,5,4,academic ambition / competitive determination,0.04305274784564972
b1,b11,0.0,2.0,5,5,ironic amusement,0.11254583299160004
b1,b11,0.0,2.0,5,6,enthusiasm / curiosity,0.1051587462425232
b1,b11,0.0,2.0,6,0,self-doubt / encouragement,0.07207649946212769
b1,b11,0.0,2.0,6,1,frustration / despair,0.08836401253938675
b1,b11,0.0,2.0,6,2,uncertainty / indecision,0.12987712025642395
b1,b11,0.0,2.0,6,3,romantic idealism,0.021000947803258896
b1,b11,0.0,2.0,6,4,academic ambition / competitive determination,0.09540071338415146
b1,b11,0.0,2.0,6,5,ironic amusement,0.14298269152641296
b1,b11,0.0,2.0,6,6,enthusiasm / curiosity,0.11271214485168457
b1,b11,0.0,2.0,7,0,self-doubt / encouragement,0.17175818979740143
b1,b11,0.0,2.0,7,1,frustration / despair,0.17102238535881042
b1,b11,0.0,2.0,7,2,uncertainty / indecision,0.20353512465953827
b1,b11,0.0,2.0,7,3,romantic idealism,0.060201458632946014
b1,b11,0.0,2.0,7,4,academic ambition / competitive determination,0.1366473138332367
b1,b11,0.0,2.0,7,5,ironic amusement,0.1265285760164261
b1,b11,0.0,2.0,7,6,enthusiasm / curiosity,0.17011363804340363
b1,b11,2.0,-2.0,0,0,self-doubt / encouragement,0.12508831918239594
b1,b11,2.0,-2.0,0,1,frustration / despair,0.09660691022872925
b1,b11,2.0,-2.0,0,2,uncertainty / indecision,0.12496494501829147
b1,b11,2.0,-2.0,0,3,romantic idealism,0.04280034452676773
b1,b11,2.0,-2.0,0,4,academic ambition / competitive determination,0.05645545944571495
b1,b11,2.0,-2.0,0,5,ironic amusement,0.12857218086719513
b1,b11,2.0,-2.0,0,6,enthusiasm / curiosity,0.14909154176712036
b1,b11,2.0,-2.0,1,0,self-doubt / encouragement,0.14088816940784454
b1,b11,2.0,-2.0,1,1,frustration / despair,0.1488928347826004
b1,b11,2.0,-2.0,1,2,uncertainty / indecision,0.17363008856773376
b1,b11,2.0,-2.0,1,3,romantic idealism,0.049350105226039886
b1,b11,2.0,-2.0,1,4,academic ambition / competitive determination,0.09866994619369507
b1,b11,2.0,-2.0,1,5,ironic amusement,0.10608218610286713
b1,b11,2.0,-2.0,1,6,enthusiasm / curiosity,0.204816997051239
b1,b11,2.0,-2.0,2,0,self-doubt / encouragement,0.09022797644138336
b1,b11,2.0,-2.0,2,1,frustration / despair,0.06772220879793167
b1,b11,2.0,-2.0,2,2,uncertainty / indecision,0.06869050115346909
b1,b11,2.0,-2.0,2,3,romantic idealism,0.049578677862882614
b1,b11,2.0,-2.0,2,4,academic ambition / competitive determination,0.05075787380337715
b1,b11,2.0,-2.0,2,5,ironic amusement,0.06235214322805405
b1,b11,2.0,-2.0,2,6,enthusiasm / curiosity,0.0850212350487709
b1,b11,2.0,-2.0,3,0,self-doubt / encouragement,0.08771786093711853
b1,b11,2.0,-2.0,3,1,frustration / despair,0.06798452138900757
b1,b11,2.0,-2.0,3,2,uncertainty / indecision,0.14811456203460693
b1,b11,2.0,-2.0,3,3,romantic idealism,0.017416516318917274
b1,b11,2.0,-2.0,3,4,academic ambition / competitive determination,0.06540282815694809
b1,b11,2.0,-2.0,3,5,ironic amusement,0.10578177124261856
b1,b11,2.0,-2.0,3,6,enthusiasm / curiosity,0.15301838517189026
b1,b11,2.0,-2.0,4,0,self-doubt / encouragement,0.21096622943878174
b1,b11,2.0,-2.0,4,1,frustration / despair,0.10356887429952621
b1,b11,2.0,-2.0,4,2,uncertainty / indecision,0.19521598517894745
b1,b11,2.0,-2.0,4,3,romantic idealism,0.08258029073476791
b1,b11,2.0,-2.0,4,4,academic ambition / competitive determination,0.14826533198356628
b1,b11,2.0,-2.0,4,5,ironic amusement,0.10543058067560196
b1,b11,2.0,-2.0,4,6,enthusiasm / curiosity,0.23203974962234497
b1,b11,2.0,-2.0,5,0,self-doubt / encouragement,0.16616615653038025
b1,b11,2.0,-2.0,5,1,frustration / despair,0.16397209465503693
