component,worst_alpha,pathology_score,rep_4,max_run_norm,toxicity_rate,compress_ratio,unique_token_ratio,non_ascii_ratio,category_loading_l2,example
46,2.0,0.17625165282685099,0.15024436069957517,0.02600729212727582,0.0,0.6399839996461146,0.611138605357444,0.0018564356435643563,0.123204514,"We have a few different kinds of steak, but I think we have a few different kinds of steak, but I think we have a few different kinds of steak, but I think we have a few different kinds of steak, but I think"
10,-2.0,0.16782328169866514,0.14036414565826333,0.02745913604040181,0.0,0.6422968280203797,0.6510030106250669,0.0024875621890547263,0.24133483,I've got it now. I've got it now. I've got it now. I've got it now. I've got it now. I've got it now. I've got it now
30,-2.0,0.15973769029164203,0.13146961405529956,0.02826807623634249,0.0,0.6433623391795829,0.64156254607106,0.0013157894736842105,0.14802933,I're going to go get some more coffee. I'm going to go get some more coffee. I'm going to go get some more coffee. I'm going to go get some more coffee. I'm going
16,-2.0,0.1562248017329816,0.13063322368421054,0.025591578048771043,0.0,0.6349879635618146,0.5987417516367637,0.0019230769230769232,0.104763836,"I am a teacher. I am a teacher of English as a foreign language. I am a teacher of English as a foreign language in China. I am a teacher of English as a foreign language in China, in a city called Wuhan"
12,-2.0,0.15580386510386293,0.12523296387520524,0.03057090122865769,0.0,0.6514724075924416,0.610289477954258,0.0025906735751295338,0.06597697,I'm free tomorrow afternoon. I'm free tomorrow afternoon. I'm free tomorrow afternoon. I'm free tomorrow afternoon. I'm free tomorrow afternoon. I'm free tomorrow afternoon. I'm free tomorrow afternoon
25,2.0,0.15481012125889373,0.12329769736842106,0.03151242389047267,0.0,0.6438580736700441,0.6284715623130257,0.0020161290322580645,0.19835679,"I've got it now, I've got it now, I've got it now, I've got it now, I've got it now, I've got it now, I've got it now"
50,2.0,0.1543985456072522,0.12280825791855203,0.031590287688700175,0.0,0.620497440122759,0.5601424617355664,0.0037313432835820895,0.22150256,I 'll be there in 10 minutes. I 'll be there in 10 minutes. I 'll be there in 10 minutes. I 'll be there in 10 minutes. I 'll be there in 10
9,-2.0,0.1510682641470473,0.1254020467836257,0.02566621736342159,0.0,0.6407082350779103,0.6127065953197771,0.0017441860465116279,0.15145649,"We have a few different kinds of steaks, but I think we have a few different kinds of steaks, but I think we have a few different kinds of steaks, but I think we have a few different kinds of steaks"
59,-2.0,0.1496135534389968,0.12042140151515152,0.029192151923845288,0.0,0.643464041087186,0.6272156631824825,0.006983458177278402,0.081391014,I'm not sure what you're getting at. I'm not sure what you're getting at. I'm not sure what you're getting at. I'm not sure what you're getting at.
54,2.0,0.14817990653933824,0.11886200716845878,0.029317899370879464,0.0,0.6863946574290698,0.6459849193162085,0.005698338525441329,0.0694014,I'm not going to tell you again. I'm not going to tell you again. I'm not going to tell you again. I'm not going to tell you again. I'm not going to tell you
15,-2.0,0.13949974951290428,0.09928155401945725,0.04021819549344704,0.0,0.6492162281854092,0.6778010141303485,0.0019329896907216496,0.051504165,I've got it now. I'm going to go get some more information. I'm going to go get some more information. I'm going to go get some more information. I'm going to go get some
29,-2.0,0.13484323786047925,0.08796296296296297,0.046880274897516276,0.0,0.6122369397662585,0.608669922031991,0.0014367816091954023,0.16191867,I've been in the US for 3 years now. I've been in the US for 3 years now. I've been in the US for 3 years now. I've been in the US for
3,2.0,0.13196506921250148,0.1045866935483871,0.027378375664114378,0.0,0.6529992025385403,0.5886506883813655,0.0035919540229885057,0.06797469,I'm not going to say it again. I'm not going to say it again. I'm not going to say it again. I'm not going to say it again. I'm not going to say it
47,2.0,0.1299362616812454,0.090244708994709,0.039691552686536374,0.0,0.656029281938108,0.6113192555518314,0.003923519009725906,0.06849405,I'm not going to explain it again. I'm not going to explain it again. I'm not going to explain it again. ( repeat ). ( 3 times ). ( 3 times ). (
33,-2.0,0.12572887356675655,0.0930417888221881,0.03268708474456844,0.0,0.6685656977821738,0.6440424731246485,0.0006443298969072165,0.1864732,I 'd be happy to help you with anything else you need. I 'd be happy to help you with anything else you need. I 'd be happy to help you with anything else you need. I 'd be happy to
2,2.0,0.12152663814610551,0.08692640692640692,0.03460023121969859,0.0,0.6804353746937741,0.6018722245982187,0.0,0.13479377,"We have ribeye, sirloin, filet mignon, and new york strip. What is the speaker looking at? The speaker is looking at a menu. The speaker is looking at a menu. The speaker is looking at a"
21,-2.0,0.1190492845420443,0.09057071960297766,0.028478564939066642,0.0,0.6802269221623788,0.6907271403208777,0.001893939393939394,0.29392767,I'm not sure what you're trying to say. I'm not sure what you're trying to say. I'm not sure what you're trying to say. I'm not sure what you're
13,2.0,0.1173711101700232,0.024999999999999994,0.09237111017002321,0.0,0.6632575198725998,0.8102455063052889,0.003472222222222222,0.12132665,I 'll be here...........................................
45,-2.0,0.1156965365347539,0.07945075757575756,0.036245778958996326,0.0,0.6751896259415955,0.7043803253562725,0.001336898395721925,0.14693673,you can get them at a local library or online. you can also get them at a bookstore. you can also get them at a bookstore. you can also get them at a bookstore. you can also get them at a bookstore. you
52,-2.0,0.11206372974870757,0.08092324805339265,0.031140481695314907,0.0,0.6746403892987167,0.6454378836653316,0.002027027027027027,0.1640901,I've got a feeling that you're going to be a great teacher. I've got a feeling that you're going to be a great teacher. I've got a feeling that you're going to be a
53,2.0,0.11054099083441099,0.0822172619047619,0.02832372892964908,0.0,0.6357225084734303,0.5987921473251591,0.0012690355329949238,0.0779044,I am a student of the University of London. I am a member of the British National Party. I am a member of the National Front. I am a member of the British Freedom Party. I am a member of the English Democrats.
49,2.0,0.10883930579654266,0.08064713064713067,0.02819217514941199,0.0,0.6758758097256707,0.6496939464044728,0.0016891891891891893,0.1364421,"I've got a few more things to do before I leave, so I 'll be back in a bit. I 'll be back in a bit. I 'll be back in a bit. I 'll be back in"
23,-2.0,0.10649433150670182,0.07502199857009294,0.03147233293660887,0.0,0.6843270215512519,0.6844034311776114,0.002304147465437788,0.08400558,I'm not going to tell you again. I'm not going to tell you again. I'm not going to tell you again. ( repeat ad infinitum ). I'm not going to tell you again. I
5,-2.0,0.10630400305163623,0.0760984188575652,0.030205584194071038,0.0,0.6943336728617804,0.6864368346687426,0.0017605633802816902,0.23520511,I'm not sure I do. I'm not sure I want to know. I'm not sure I want to be a part of this. I'm not sure I want to be a part of this world. I
8,2.0,0.09806896790653301,0.07172689640372279,0.02634207150281022,0.0,0.6499561026296204,0.6042999517007726,0.0007062146892655367,0.13935195,I 'll be here for a while. I'm not going anywhere. I'm not going to leave you. I'm not going to leave you alone. I'm not going to leave you to face this by yourself
43,2.0,0.09749487456689893,0.07178792569659442,0.025706948870304495,0.0,0.6239821696525601,0.5828092834460852,0.0006756756756756757,0.2805981,I've got the whole thing figured out. The whole thing is a big joke. The whole thing is a big scam. The whole thing is a big mess. The whole thing is a big disaster. The whole thing is a big
56,2.0,0.09538099676801631,0.06431451612903225,0.03106648063898406,0.0,0.6898360473842191,0.6661676198098907,0.0,0.09078862,you can get them at a local pet store or online. You can also get them at a local pet store or online. You can also get them at a local pet store or online. 1. What are the things that you have to
17,-2.0,0.09435365616768056,0.06799242424242424,0.026361231925256315,0.0,0.6228564438633312,0.5683340203157277,0.0,0.16250354,"I'm free on Friday and Saturday, but I'm not sure if I can make it on Sunday. I'm not sure if I can get a babysitter for the kids. I'm not sure if I can get"
1,-2.0,0.08936188129875362,0.060122549019607854,0.029239332279145765,0.0,0.6987629700055262,0.6767282323236412,0.001838235294117647,0.15623695,"A. yes B. no C. no, it's not C. no, it's not, it's a different kind of seafood D. no, it's not, it's a different kind of seafood"
19,-2.0,0.08845160806564822,0.060515744109494105,0.027935863956154116,0.0,0.6820403704822063,0.6378483789596069,0.0019035532994923859,0.19150953,"I 'd like to know if I'm right or not. I'm not trying to be a know-it-all, I just want to know if I'm right or not. I'm not trying to be a know"
57,-2.0,0.08719956190025804,0.059872159090909094,0.027327402809348953,0.0,0.6829204786183682,0.6436996075459968,0.0031847133757961785,0.14854775,"I 'll be back in a few hours, I 'll bring some more food. I 'll bring some more money, I 'll bring some more clothes. I 'll bring some more everything. I 'll be back,"
63,2.0,0.08596504894536204,0.05828445747800587,0.027680591467356172,0.0,0.6993452480671263,0.6319363642893054,0.0018472906403940886,0.08954147,"I'm free on Saturday, but I'm not sure if I can make it on Sunday. I'm not sure if I can make it on Saturday either, but I'm pretty sure I can make it on Sunday."
36,2.0,0.08534001326596426,0.05715725806451613,0.028182755201448126,0.0,0.7276749911974258,0.7011137167867466,0.0007142857142857143,0.11832949,"I am a bit of a rebel, I like to do things my own way. I like to take risks and push boundaries. I am a bit of a rebel, I like to do things my own way. I like to take risks"
35,-2.0,0.08323798891498382,0.0551271645021645,0.02811082441281932,0.0,0.6288319700828695,0.5446601418906173,0.004335260115606936,0.22912155,I'm not sure I do. I'm not sure I want to. I'm not sure I can. I'm not sure I should. I'm not sure I will. I'm not sure I can
40,-2.0,0.07971954023314035,0.05358832129342965,0.026131218939710696,0.0,0.6889265243641437,0.6569615437952949,0.0017772511848341231,0.21275274,you can 't just go to the store and buy a new one. you have to make it yourself. and it's not like you can just go to the store and buy a new one. you have to make it yourself.
48,2.0,0.07830718569695616,0.04340690435766836,0.034900281339287804,0.0,0.6802667400743749,0.689434176644461,0.001893939393939394,0.121536314,"I've got a lot of work to do, but I'm going to try to get it done. I'm going to try to get it done, but I'm not going to stress about it. I'm"
41,-2.0,0.07766017767842712,0.05032682834406972,0.0273333493343574,0.0,0.6676053883997906,0.6548687115975422,0.001838235294117647,0.2339037,I'm not sure I do. I'm not sure I want to. I'm not sure I can. I'm not sure I should. I'm not sure I will. I'm not sure I can
31,2.0,0.07494086577095092,0.050976778792912514,0.023964086978038406,0.0,0.6424728807757161,0.5692306971261721,0.001524390243902439,0.20750718,I have been trying to get you to understand this for weeks. I have been trying to get you to see that the way you are doing things is not the way it is done in the real world. I have been trying to get you
7,-2.0,0.07415195056642425,0.04479166666666666,0.029360283899757585,0.0,0.6958291450838137,0.6931943649048912,0.003453038674033149,0.20029613,"you can get them at a local pharmacy or online. A: No, you don't need to provide those. You can get them at a local pharmacy or online. B: Yeah, you're right. Those are available at pharmacies and"
44,-2.0,0.06804901033699662,0.038238916256157635,0.029810094080838987,0.0,0.6803308147458188,0.6355564084036601,0.003094059405940594,0.19542678,I'm not sure I do. I'm not sure I want to. I'm not sure I can. I'm not sure I should. I'm not sure I will. I'm not sure I can
37,-2.0,0.06516266579825775,0.039755639097744364,0.025407026700513383,0.0,0.6896091287530075,0.7002616447597136,0.001201923076923077,0.20117037,I'm not sure I do. I think I need to go back and re-read the whole thing. I'm not sure I understand the point of the story. I think I need to go back and re-read the whole thing
6,2.0,0.06490010219411951,0.03682409843508981,0.028076003759029695,0.0,0.7019070789834049,0.6997741878424125,0.0033422459893048127,0.14661492,"I ’ m a student at the University of California, Berkeley, and I ’ m looking for a place to live in the Berkeley area. I ’ m a pretty laid-back guy, and I ’ m looking for a place that ’ s"
4,2.0,0.0611692086921783,0.0360016420361248,0.0251675666560535,0.0,0.643694809062012,0.5577165965735045,0.002130681818181818,0.09438446,"I'm not going to be able to make it to the party tonight. I'm really sorry, but I've got a lot of work to do and I'm not going to be able to get it done if I"
55,-2.0,0.0587480652332498,0.030172413793103453,0.028575651440146347,0.0,0.7081432164676783,0.6705838816672858,0.0007961783439490446,0.13659266,I'm not sure I do. I'm not sure I want to do it. I'm not sure I can do it. I'm not sure I should do it. I'm not sure I'm ready
62,2.0,0.05570007305534656,0.025657894736842102,0.03004217831850446,0.0,0.7212549660334825,0.6813354673907905,0.006578454746194633,0.12921691,"I'm not sure I do. I think I do, but I'm not sure. I feel like I'm missing something. I feel like I'm not getting it. I feel like I'm just pretending to"
24,-2.0,0.055279682331709816,0.027777777777777776,0.02750190455393204,0.0,0.7016879231282132,0.7285573296730135,0.002840909090909091,0.13562265,"I'm not sure what I'm doing, but I'm doing it anyway. I'm not sure if I'm right or wrong, but I'm doing it anyway. I'm not sure if I '"
60,-2.0,0.05266625543904105,0.013289473684210518,0.03937678175483053,0.0,0.7706154146143763,0.7515474870657798,0.0015527950310559005,0.1051826,"A. Yes, I think so. B. No, I don't think so. C. I don't know. D. Yes, I know. Answer: A. Yes, I think so. (This answer is"
58,-2.0,0.05115393299168454,0.02253807773109244,0.028615855260592103,0.0,0.6997024141637535,0.6761600843837686,0.003308408781927049,0.09205371,".. ... and the seat belt is not just for the driver, it's for the whole family, including the baby in the back seat. ... and the baby in the back seat is not just a passenger, it"
32,2.0,0.05074846943097905,0.01802035330261137,0.03272811612836768,0.0,0.7356823986245536,0.7139649002313476,0.005194995244018438,0.09128422,I 'll be here for a while. I 'd love to spend some time with you. I 'd love to get to know you better. I 'd love to hear more about your life. I 'd love to share
